     85/99     2.75G   0.01808  0.007589   0.00259   0.02826        17       448    0.7895     0.797    0.8053    0.6052   0.01982  0.005928  0.007754
     86/99     2.75G    0.0177  0.007699  0.002797   0.02819         9       448     0.906     0.746    0.8222    0.6152   0.02006  0.005897  0.008012
     87/99     2.75G   0.01751  0.007233  0.002831   0.02757        25       448    0.8785    0.7907    0.8289    0.6281   0.02059  0.005853  0.008757
     88/99     2.75G   0.01821  0.008029  0.003153   0.02939        17       448    0.8923     0.786    0.8252    0.6189   0.02014   0.00582  0.008783
     89/99     2.75G   0.01753  0.007821  0.002623   0.02798        36       448     0.896    0.7635     0.826     0.606   0.02053  0.005959  0.008268
     90/99     2.75G    0.0172  0.007112  0.002898   0.02721        31       448    0.8891    0.7271    0.8171    0.6023   0.01979  0.005947  0.008093
     91/99     2.75G    0.0174  0.007518  0.002883    0.0278        16       448    0.9129    0.7555    0.8125    0.5977   0.02027  0.006053  0.008409
     92/99     2.75G   0.01756  0.007722  0.002786   0.02807        15       448    0.9131    0.7473    0.8051    0.5949   0.01994  0.006193  0.008903
     93/99     2.75G   0.01671  0.007007  0.002957   0.02667        23       448    0.9267    0.7333    0.8151    0.6055   0.01975  0.006185  0.009235
     94/99     2.75G   0.01664   0.00775  0.002653   0.02704        27       448    0.8902    0.7378    0.8108     0.596   0.02075  0.006226  0.009157
     95/99     2.75G   0.01684  0.007402  0.002769   0.02701        33       448    0.9285    0.7516    0.8238    0.6085   0.02005  0.006171  0.009048
     96/99     2.75G   0.01688   0.00737  0.002463   0.02671        13       448    0.9013    0.7766    0.8109    0.6045   0.02057  0.006209  0.009237
     97/99     2.75G   0.01596  0.007512  0.002295   0.02576        16       448    0.9437    0.7746    0.8186    0.6074   0.02033   0.00613  0.008786
     98/99     2.75G   0.01671  0.007574  0.002266   0.02655        11       448    0.9122    0.7741    0.8239    0.6041    0.0192   0.00601  0.008868
     99/99     2.75G   0.01766  0.007551  0.002332   0.02754        12       448    0.9193    0.7424      0.82    0.5982   0.02041  0.006083  0.008865
